name,netblock,country,city,category,comment
NETBLK-THEPLANET-BLK-16,174.120.0.0/14,US,Houston,,
NETEL-SIBERNAME-04,209.44.101.144/28,CA,Montreal,,
NETNAMES-SVC,185.26.230.0/24,GB,,,
NETSOL,208.91.197.27/32,US,,,
NINGINC1,208.82.16.0/22,US,Palo Alto,,
NL-CAMBRIUM,84.245.27.0/24,NL,,,
NL-LEASEWEB-20030922,82.192.64.0/19,NL,,,
NSDESIGN,85.13.232.208/28,GB,London,,
NTSL-02,205.178.184.0/21,US,Jacksonville,,
NTVL,69.55.64.0/20,US,Rochester,,
ONLINE_NET_DEDICATED_SERVERS,163.172.0.0/16,FR,,,
ORANGE-PORTAILS,193.252.122.0/24,FR,,,
OVH,213.251.188.0/24,FR,,,
OVH,37.187.0.0/19,FR,,,
OVH,91.121.192.0/20,FR,,,
OVH,5.135.160.0/21,FR,,,
OVH,213.186.33.0/24,FR,,,
PC-WEBSHOP-NET,83.231.174.40/29,GB,,,
PCEXTREME-NL,185.107.224.0/23,NL,,,
PEER1-DOSARREST-01,69.172.200.0/23,US,New York,,
PEER1-WEBSERVE-02,66.199.162.0/24,CA,North Vancouver,,
PONYNET-04,209.141.32.0/19,US,Las Vegas,,
PONYNET-06,198.98.48.0/20,US,Buffalo,,
PROLEXIC,72.52.0.0/18,US,Cambridge,security,
RACKS-8-1379516654528026,162.242.144.0/20,US,San Antonio,,
RACKS-8-1384879827344650,23.253.32.0/19,US,San Antonio,,
RACKS-8-1416336978951185,104.130.124.0/22,US,San Antonio,,
RCSW,71.40.0.0/14,US,Orlando,,
ROOK-MEDIA-01,208.73.208.0/22,US,Los Angeles,,
SchillingAviation,176.74.176.160/27,GB,,,
SCHLUND-CUSTOMERS, 217.160.8.0/21,DE,,,
SHOPIFY-NET,23.227.32.0/19,CA,Ottawa,,
SK-LSC-EXOTECHNOLOGIES,92.240.254.64/26,SK,Bratislava,,
SNAK-NET,91.236.248.0/22,UA,,,
SOFTLAYER-4-3,75.126.0.0/16,US,Dallas,,
SQUARESPACE,198.185.159.0/24,US,New York,,
STRATO-RZG-KA, 81.169.148.0/24,DE,Berlin,,
TIGGEE,208.80.120.0/21,US,Reston,,
TRIOLAN,178.150.147.0/24,UA,Kharkiv,,
TUCOWS-BLK2,64.98.0.0/15,CA,Toronto,,
UK-GYRON-20040701,83.223.96.0/19,GB,Braintree,,
UK-OVH,94.23.152.0/21,GB,Moscow,,
UK-WEBFUSION-LEEDS,94.136.40.0/24,GB,,,
UKWEBHOSTING-PA1,188.65.112.0/22,GB,,,
UNICOM-SD,119.164.0.0/14,CN,Jinan,,
UNIFIEDLAYER-NETWORK-12,198.57.128.0/17,US,Provo,,
UNIFIEDLAYER-NETWORK-9,50.87.0.0/16,US,Provo,,
UNITAS05-CUST-CML01,198.232.124.0/22,US,Los Angeles,,
VOLOGDA-STREAM-NET,213.176.241.0/24,RU,Vologda,,
WEBSMART, 108.59.11.88/31,US,,,
WORLDSITE97,209.134.0.0/19,US,Tarzana,,
WTGROUP-NET,195.200.240.0/23,LU,,,
ZEN20030407-DAR-ZEN-ADSL9,217.155.32.0/20,GB,,,
